[Train] Iter 510/5000 | Time: 12.33s | Batch_OA: 96.92 | Batch_mIoU: 48.93 | CE_loss: 0.397
[Train] Iter 520/5000 | Time: 9.82s | Batch_OA: 95.22 | Batch_mIoU: 49.39 | CE_loss: 0.434
[Train] Iter 530/5000 | Time: 9.69s | Batch_OA: 95.30 | Batch_mIoU: 48.26 | CE_loss: 0.347
[Train] Iter 540/5000 | Time: 10.30s | Batch_OA: 96.42 | Batch_mIoU: 49.94 | CE_loss: 0.273
[Train] Iter 550/5000 | Time: 11.93s | Batch_OA: 95.68 | Batch_mIoU: 48.21 | CE_loss: 0.367
[Train] Iter 560/5000 | Time: 10.86s | Batch_OA: 96.64 | Batch_mIoU: 49.76 | CE_loss: 0.327
[Train] Iter 570/5000 | Time: 11.47s | Batch_OA: 95.38 | Batch_mIoU: 48.07 | CE_loss: 0.290
[Train] Iter 580/5000 | Time: 9.58s | Batch_OA: 95.96 | Batch_mIoU: 48.83 | CE_loss: 0.363
[Train] Iter 590/5000 | Time: 13.19s | Batch_OA: 96.23 | Batch_mIoU: 48.26 | CE_loss: 0.368
[Train] Iter 600/5000 | Time: 12.11s | Batch_OA: 98.46 | Batch_mIoU: 49.71 | CE_loss: 0.211
[Train] Iter 610/5000 | Time: 10.66s | Batch_OA: 94.54 | Batch_mIoU: 47.96 | CE_loss: 0.397
[Train] Iter 620/5000 | Time: 11.94s | Batch_OA: 97.25 | Batch_mIoU: 49.43 | CE_loss: 0.333
[Train] Iter 630/5000 | Time: 10.90s | Batch_OA: 98.19 | Batch_mIoU: 49.63 | CE_loss: 0.273
[Train] Iter 640/5000 | Time: 10.91s | Batch_OA: 96.74 | Batch_mIoU: 49.37 | CE_loss: 0.274
[Train] Iter 650/5000 | Time: 12.69s | Batch_OA: 99.66 | Batch_mIoU: 50.08 | CE_loss: 0.164
[Train] Iter 660/5000 | Time: 11.42s | Batch_OA: 98.85 | Batch_mIoU: 49.57 | CE_loss: 0.249
[Train] Iter 670/5000 | Time: 11.50s | Batch_OA: 96.24 | Batch_mIoU: 48.95 | CE_loss: 0.399
[Train] Iter 680/5000 | Time: 12.63s | Batch_OA: 98.19 | Batch_mIoU: 49.51 | CE_loss: 0.217
[Train] Iter 690/5000 | Time: 10.89s | Batch_OA: 98.28 | Batch_mIoU: 49.30 | CE_loss: 0.225
